,PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Num,Side,Group,TotalExpenses
7781,8307_01,Europa,False,55 Cancri e,27.0,True,0.0,1337.0,1929.0,0.0,0.0,True,A,100,S,8307,3266.0
5571,5931_01,Europa,False,55 Cancri e,39.0,False,0.0,0.0,0.0,1854.0,171.0,False,A,56,P,5931,2025.0
5305,5663_01,Europa,False,TRAPPIST-1e,33.0,False,0.0,1513.0,5.0,63.0,144.0,True,A,71,S,5663,1725.0
3997,4258_01,Europa,False,TRAPPIST-1e,39.0,False,0.0,266.0,0.0,1254.0,197.0,False,A,37,P,4258,1717.0
6504,6864_01,Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,A,71,P,6864,0.0
2,0003_01,Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,A,0,S,0003,10383.0
3,0003_02,Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,A,0,S,0003,5176.0
1746,1860_01,Europa,False,TRAPPIST-1e,35.0,True,0.0,1.0,0.0,0.0,3156.0,False,A,13,P,1860,3157.0
1740,1854_01,Europa,False,55 Cancri e,53.0,False,0.0,13527.0,0.0,0.0,771.0,True,A,22,S,1854,14298.0
5213,5561_01,Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,True,A,51,P,5561,0.0
7832,8363_01,Europa,False,55 Cancri e,25.0,False,0.0,1673.0,0.0,642.0,612.0,False,A,101,S,8363,2927.0
52,0056_01,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,A,1,S,0056,0.0
53,0056_02,Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,A,1,S,0056,0.0
1787,1901_01,Europa,True,55 Cancri e,42.0,False,0.0,0.0,0.0,0.0,0.0,True,A,14,P,1901,0.0
54,0056_03,Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,A,1,S,0056,4547.0
7137,7609_01,Europa,False,55 Cancri e,40.0,True,0.0,21.0,0.0,1503.0,1392.0,False,A,83,P,7609,2916.0
3998,4258_02,Europa,True,TRAPPIST-1e,63.0,False,0.0,490.0,1.0,2882.0,18.0,False,A,37,P,4258,3391.0
1946,2084_02,Europa,True,TRAPPIST-1e,,False,0.0,0.0,0.0,0.0,0.0,True,A,16,P,2084,0.0
5376,5740_02,Europa,False,55 Cancri e,32.0,False,70.0,764.0,724.0,547.0,1297.0,False,A,52,P,5740,3402.0
479,0516_01,Europa,False,55 Cancri e,55.0,False,113.0,2492.0,41.0,0.0,2376.0,False,A,6,S,0516,5022.0
6986,7428_01,Europa,False,TRAPPIST-1e,28.0,False,0.0,132.0,4.0,1915.0,0.0,False,A,79,P,7428,2051.0
6989,7431_01,Europa,False,55 Cancri e,31.0,False,,2954.0,0.0,170.0,756.0,False,A,90,S,7431,3880.0
5375,5740_01,Europa,False,TRAPPIST-1e,42.0,False,0.0,16.0,0.0,144.0,7492.0,False,A,52,P,5740,7652.0
2098,2251_02,Europa,False,TRAPPIST-1e,58.0,False,2.0,1.0,14.0,2.0,1153.0,False,A,29,S,2251,1172.0
8518,9085_03,Europa,True,TRAPPIST-1e,57.0,False,0.0,0.0,0.0,0.0,0.0,True,A,95,P,9085,0.0
6443,6802_01,Europa,False,55 Cancri e,42.0,False,1751.0,516.0,0.0,12.0,672.0,False,A,68,P,6802,2951.0
819,0871_01,Europa,False,TRAPPIST-1e,20.0,False,2.0,4754.0,0.0,246.0,31.0,True,A,10,S,0871,5033.0
1788,1901_02,Europa,True,55 Cancri e,36.0,False,0.0,0.0,0.0,0.0,0.0,True,A,14,P,1901,0.0
4183,4465_01,Europa,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,False,A,54,S,4465,0.0
4184,4465_02,Europa,False,TRAPPIST-1e,43.0,False,31.0,76.0,0.0,1353.0,1713.0,False,A,54,S,4465,3173.0
5770,6111_05,Europa,False,TRAPPIST-1e,33.0,False,0.0,2110.0,0.0,773.0,10.0,True,A,58,P,6111,2893.0
5769,6111_04,Europa,True,55 Cancri e,34.0,False,0.0,0.0,0.0,0.0,0.0,True,A,58,P,6111,0.0
5767,6111_02,Europa,False,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,4588.0,0.0,False,A,58,P,6111,4588.0
5766,6111_01,Europa,True,TRAPPIST-1e,32.0,False,0.0,,0.0,0.0,0.0,True,A,58,P,6111,0.0
4185,4465_03,Europa,False,TRAPPIST-1e,28.0,False,0.0,1883.0,0.0,1.0,4560.0,False,A,54,S,4465,6444.0
4186,4466_01,Europa,False,55 Cancri e,31.0,True,0.0,2461.0,0.0,51.0,2141.0,False,A,40,P,4466,4653.0
6341,6708_04,Europa,True,55 Cancri e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,A,67,P,6708,0.0
5739,6086_01,Europa,False,55 Cancri e,32.0,False,0.0,4176.0,0.0,183.0,6.0,True,A,72,S,6086,4365.0
3999,4258_03,Europa,False,TRAPPIST-1e,39.0,False,9.0,1525.0,0.0,0.0,146.0,False,A,37,P,4258,1680.0
6342,6708_05,Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,A,67,P,6708,0.0
7010,7455_01,Europa,False,55 Cancri e,41.0,False,0.0,1616.0,0.0,758.0,400.0,True,A,80,P,7455,2774.0
4198,4475_01,Europa,False,TRAPPIST-1e,50.0,True,13.0,239.0,0.0,161.0,2355.0,False,A,55,S,4475,2768.0
711,0753_01,Europa,True,Undisclosed,34.0,False,0.0,0.0,0.0,0.0,0.0,True,A,4,P,0753,0.0
712,0753_02,Europa,False,55 Cancri e,65.0,False,19.0,1344.0,4.0,3190.0,8.0,False,A,4,P,0753,4565.0
4199,4475_02,Europa,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,True,A,55,S,4475,0.0
7138,7609_02,Europa,True,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,True,A,83,P,7609,0.0
3919,4182_02,Europa,False,TRAPPIST-1e,43.0,False,0.0,124.0,0.0,3975.0,186.0,False,A,51,S,4182,4285.0
88,0097_01,Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,A,2,S,0097,1848.0
3920,4182_03,Europa,False,55 Cancri e,43.0,True,0.0,3172.0,0.0,26.0,4376.0,False,A,51,S,4182,7574.0
7833,8363_02,Europa,False,TRAPPIST-1e,26.0,False,0.0,690.0,1.0,1030.0,2273.0,False,A,101,S,8363,3994.0
7471,7993_02,Europa,True,55 Cancri e,47.0,True,0.0,0.0,0.0,0.0,0.0,True,A,96,S,7993,0.0
7470,7993_01,Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,True,A,96,S,7993,0.0
6505,6864_02,Europa,True,55 Cancri e,25.0,True,0.0,0.0,0.0,0.0,0.0,True,A,71,P,6864,0.0
2614,2798_01,Europa,False,TRAPPIST-1e,37.0,False,6.0,437.0,,54.0,3030.0,False,A,23,P,2798,3527.0
6363,6729_03,Europa,False,TRAPPIST-1e,27.0,False,2664.0,15.0,0.0,109.0,2.0,False,A,82,S,6729,2790.0
2068,2215_02,Europa,False,TRAPPIST-1e,43.0,False,2.0,2229.0,33.0,6.0,198.0,True,A,27,S,2215,2468.0
7082,7538_01,Europa,False,TRAPPIST-1e,48.0,True,313.0,2864.0,0.0,0.0,12424.0,False,A,81,P,7538,15601.0
4303,4587_01,Europa,False,TRAPPIST-1e,,False,0.0,4020.0,0.0,1635.0,4899.0,False,A,42,P,4587,10554.0
1844,1973_01,Europa,True,55 Cancri e,39.0,False,0.0,0.0,0.0,0.0,0.0,True,A,24,S,1973,0.0
6362,6729_02,Europa,True,55 Cancri e,48.0,False,0.0,0.0,0.0,0.0,0.0,True,A,82,S,6729,0.0
5675,6028_02,Europa,False,TRAPPIST-1e,32.0,True,0.0,792.0,0.0,1.0,1335.0,False,A,57,P,6028,2128.0
1558,1653_01,Europa,False,Undisclosed,47.0,False,4.0,1303.0,830.0,774.0,2.0,False,A,19,S,1653,2913.0
1566,1661_01,Europa,False,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,False,A,20,S,1661,0.0
1567,1661_02,Europa,False,TRAPPIST-1e,57.0,False,0.0,62.0,0.0,2136.0,178.0,False,A,20,S,1661,2376.0
1568,1661_03,Europa,True,TRAPPIST-1e,48.0,False,0.0,0.0,0.0,0.0,0.0,True,A,20,S,1661,0.0
1569,1661_04,Europa,False,TRAPPIST-1e,37.0,False,0.0,2390.0,0.0,1306.0,,False,A,20,S,1661,3696.0
5036,5384_02,Europa,False,TRAPPIST-1e,26.0,False,0.0,4894.0,0.0,62.0,85.0,True,A,65,S,5384,5041.0
5035,5384_01,Europa,False,TRAPPIST-1e,34.0,True,0.0,5210.0,0.0,1332.0,2.0,True,A,65,S,5384,6544.0
1945,2084_01,Europa,False,TRAPPIST-1e,40.0,False,19.0,10.0,1.0,4759.0,6007.0,False,A,16,P,2084,10796.0
1628,1724_01,Europa,False,55 Cancri e,59.0,False,8.0,1563.0,0.0,73.0,31.0,True,A,21,S,1724,1675.0
1949,2086_02,Europa,False,TRAPPIST-1e,19.0,False,0.0,1342.0,0.0,152.0,556.0,True,A,26,S,2086,2050.0
6351,6720_01,Europa,False,TRAPPIST-1e,44.0,False,0.0,0.0,0.0,0.0,0.0,True,A,81,S,6720,0.0
5678,6028_05,Europa,False,TRAPPIST-1e,28.0,False,0.0,6921.0,0.0,29.0,45.0,True,A,57,P,6028,6995.0
7149,7627_01,Europa,False,55 Cancri e,63.0,False,0.0,5036.0,4.0,519.0,0.0,True,A,92,S,7627,5559.0
1448,1529_01,Europa,False,PSO J318.5-22,25.0,True,0.0,7069.0,0.0,45.0,282.0,True,A,16,S,1529,7396.0
1449,1529_02,Europa,False,TRAPPIST-1e,30.0,False,0.0,0.0,0.0,0.0,0.0,True,A,16,S,1529,0.0
1948,2086_01,Europa,False,TRAPPIST-1e,65.0,False,51.0,4451.0,0.0,20.0,397.0,True,A,26,S,2086,4919.0
1454,1539_01,Europa,True,55 Cancri e,32.0,False,54.0,3782.0,0.0,21.0,5.0,True,A,17,S,1539,3862.0
5676,6028_03,Europa,False,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,True,A,57,P,6028,0.0
2615,2798_02,Europa,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,A,23,P,2798,0.0
8516,9085_01,Europa,False,55 Cancri e,70.0,False,0.0,2113.0,0.0,1972.0,51.0,False,A,95,P,9085,4136.0
5674,6028_01,Europa,False,55 Cancri e,27.0,False,0.0,1801.0,0.0,304.0,1393.0,False,A,57,P,6028,3498.0
6361,6729_01,Europa,False,TRAPPIST-1e,41.0,False,0.0,371.0,0.0,1701.0,21.0,False,A,82,S,6729,2093.0
5214,5561_02,Europa,False,TRAPPIST-1e,28.0,False,0.0,175.0,0.0,214.0,7461.0,False,A,51,P,5561,7850.0
6919,7337_01,Europa,False,TRAPPIST-1e,25.0,False,0.0,115.0,0.0,1823.0,4041.0,False,A,89,S,7337,5979.0
114,0119_02,Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,A,0,P,0119,0.0
1799,1918_01,Europa,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,False,A,23,S,1918,0.0
5850,6191_04,Europa,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,True,A,59,P,6191,0.0
271,0298_01,Europa,True,55 Cancri e,57.0,False,0.0,0.0,0.0,0.0,0.0,True,A,3,P,0298,0.0
387,0429_01,Europa,False,55 Cancri e,20.0,False,2.0,10116.0,0.0,2.0,225.0,True,A,5,S,0429,10345.0
388,0429_02,Europa,True,55 Cancri e,46.0,False,0.0,0.0,0.0,0.0,0.0,True,A,5,S,0429,0.0
5849,6191_03,Europa,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,A,59,P,6191,0.0
7083,7538_02,Europa,False,55 Cancri e,37.0,False,18.0,2669.0,0.0,1229.0,,False,A,81,P,7538,3916.0
5848,6191_02,Europa,True,TRAPPIST-1e,,False,0.0,0.0,0.0,0.0,0.0,True,A,59,P,6191,0.0
5847,6191_01,Europa,True,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,True,A,59,P,6191,0.0
1800,1918_02,Europa,True,TRAPPIST-1e,52.0,False,0.0,0.0,0.0,0.0,0.0,True,A,23,S,1918,0.0
5121,5469_01,Europa,True,55 Cancri e,31.0,False,,0.0,0.0,0.0,0.0,True,A,50,P,5469,0.0
677,0709_01,Europa,False,55 Cancri e,25.0,False,0.0,4949.0,0.0,452.0,15.0,True,A,7,S,0709,5416.0
1801,1918_03,Europa,False,TRAPPIST-1e,38.0,False,34.0,2043.0,0.0,1339.0,0.0,True,A,23,S,1918,3416.0
2450,2628_01,Europa,True,55 Cancri e,25.0,False,0.0,0.0,0.0,0.0,0.0,True,A,21,P,2628,0.0
2364,2547_02,Europa,False,55 Cancri e,41.0,False,0.0,12809.0,2.0,2835.0,1514.0,True,A,20,P,2547,17160.0
7971,8521_01,Europa,False,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,0.0,False,A,102,S,8521,0.0
6513,6873_01,Europa,False,55 Cancri e,62.0,False,362.0,1049.0,46.0,104.0,829.0,True,A,72,P,6873,2390.0
5858,6201_01,Europa,False,55 Cancri e,34.0,True,0.0,1174.0,0.0,130.0,1141.0,False,A,60,P,6201,2445.0
8517,9085_02,Europa,False,55 Cancri e,30.0,False,11.0,495.0,0.0,2049.0,2064.0,False,A,95,P,9085,4619.0
2147,2302_01,Europa,False,TRAPPIST-1e,54.0,True,0.0,3381.0,0.0,4463.0,34.0,False,A,18,P,2302,7878.0
8465,9038_01,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,A,106,S,9038,0.0
1880,2007_01,Europa,False,55 Cancri e,30.0,False,0.0,5734.0,0.0,5.0,1.0,True,A,25,S,2007,5740.0
2069,2215_03,Europa,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,True,A,27,S,2215,0.0
2652,2835_01,Europa,False,55 Cancri e,26.0,True,0.0,186.0,,548.0,5058.0,False,A,24,P,2835,5792.0
2067,2215_01,Europa,False,55 Cancri e,41.0,True,0.0,29813.0,0.0,1257.0,6.0,True,A,27,S,2215,31076.0
7510,8032_02,Europa,True,Undisclosed,40.0,False,0.0,0.0,0.0,0.0,0.0,True,A,85,P,8032,0.0
7509,8032_01,Europa,True,TRAPPIST-1e,25.0,False,0.0,0.0,0.0,0.0,0.0,True,A,85,P,8032,0.0
2451,2628_02,Europa,False,55 Cancri e,51.0,False,0.0,6.0,0.0,2085.0,67.0,False,A,21,P,2628,2158.0
5381,5748_01,Europa,False,TRAPPIST-1e,35.0,True,247.0,436.0,459.0,1.0,1984.0,False,A,53,P,5748,3127.0
678,0709_02,Europa,True,55 Cancri e,25.0,True,0.0,,0.0,0.0,0.0,True,A,7,S,0709,0.0
2498,2683_01,Europa,False,TRAPPIST-1e,36.0,False,2.0,1297.0,0.0,4.0,0.0,True,A,32,S,2683,1303.0
8008,8572_01,Europa,False,TRAPPIST-1e,33.0,False,0.0,739.0,0.0,140.0,6901.0,False,A,89,P,8572,7780.0
4940,5266_01,Europa,False,55 Cancri e,20.0,False,0.0,290.0,0.0,1866.0,217.0,False,A,64,S,5266,2373.0
3823,4089_01,Europa,False,TRAPPIST-1e,36.0,False,0.0,2177.0,0.0,1097.0,144.0,True,A,48,S,4089,3418.0
807,0853_01,Undisclosed,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,A,9,S,0853,0.0
8005,8569_01,Europa,False,TRAPPIST-1e,34.0,False,0.0,3636.0,0.0,70.0,27.0,True,A,88,P,8569,3733.0
6218,6574_01,Europa,False,TRAPPIST-1e,22.0,False,0.0,335.0,0.0,818.0,3014.0,False,A,65,P,6574,4167.0
2757,2964_01,Europa,False,TRAPPIST-1e,26.0,False,2050.0,8525.0,0.0,270.0,636.0,False,A,35,S,2964,11481.0
6168,6512_01,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,A,80,S,6512,0.0
5919,6279_01,Europa,False,TRAPPIST-1e,27.0,False,135.0,3103.0,9.0,424.0,629.0,False,A,74,S,6279,4300.0
6067,6413_01,Europa,False,TRAPPIST-1e,65.0,True,0.0,1420.0,,85.0,827.0,False,A,77,S,6413,2332.0
942,1004_01,Europa,True,55 Cancri e,56.0,True,0.0,0.0,0.0,0.0,0.0,True,A,11,S,1004,0.0
4492,4778_01,Europa,False,TRAPPIST-1e,31.0,False,588.0,1261.0,0.0,228.0,6.0,False,A,58,S,4778,2083.0
2859,3088_01,Europa,False,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,False,A,25,P,3088,0.0
6169,6512_02,Undisclosed,True,TRAPPIST-1e,,False,0.0,0.0,0.0,0.0,0.0,True,A,80,S,6512,0.0
3910,4179_01,Europa,False,TRAPPIST-1e,30.0,True,0.0,1172.0,183.0,91.0,0.0,True,A,50,S,4179,1446.0
3911,4179_02,Europa,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,True,A,50,S,4179,0.0
8492,9073_01,Europa,False,TRAPPIST-1e,13.0,False,24.0,838.0,1069.0,1376.0,181.0,False,A,107,S,9073,3488.0
4714,5028_01,Europa,False,55 Cancri e,47.0,False,1904.0,18.0,0.0,89.0,4411.0,False,A,61,S,5028,6422.0
2070,2215_04,Europa,False,Undisclosed,36.0,False,0.0,3206.0,0.0,698.0,72.0,False,A,27,S,2215,3976.0
1186,1258_01,Europa,False,55 Cancri e,30.0,False,0.0,3628.0,289.0,1737.0,4987.0,False,A,10,P,1258,10641.0
4054,4334_01,Europa,True,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,True,A,53,S,4334,0.0
2819,3039_01,Europa,False,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,False,A,37,S,3039,0.0
8101,8656_01,Europa,False,TRAPPIST-1e,29.0,False,0.0,4455.0,0.0,1663.0,4435.0,False,A,103,S,8656,10553.0
6768,7148_01,Europa,False,55 Cancri e,51.0,True,0.0,287.0,0.0,1442.0,66.0,True,A,87,S,7148,1795.0
6049,6400_02,Europa,False,55 Cancri e,34.0,True,0.0,618.0,0.0,0.0,10888.0,False,A,76,S,6400,11506.0
3785,4042_01,Europa,False,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,,True,A,46,S,4042,0.0
3786,4042_02,Europa,True,55 Cancri e,,False,0.0,0.0,0.0,0.0,0.0,True,A,46,S,4042,0.0
5913,6271_01,Europa,False,TRAPPIST-1e,37.0,False,0.0,0.0,0.0,0.0,0.0,True,A,62,P,6271,0.0
3787,4042_03,Europa,True,55 Cancri e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,A,46,S,4042,0.0
2771,2988_01,Europa,False,55 Cancri e,33.0,False,396.0,1280.0,7.0,308.0,4941.0,False,A,36,S,2988,6932.0
3467,3732_04,Europa,False,55 Cancri e,27.0,False,3340.0,588.0,,173.0,71.0,False,A,43,S,3732,4172.0
4467,4750_01,Europa,False,TRAPPIST-1e,28.0,False,0.0,395.0,118.0,14.0,1647.0,False,A,57,S,4750,2174.0
4468,4750_02,Europa,False,TRAPPIST-1e,31.0,False,0.0,1382.0,0.0,1795.0,588.0,False,A,57,S,4750,3765.0
4818,5138_01,Europa,False,55 Cancri e,40.0,False,0.0,3815.0,0.0,322.0,0.0,True,A,47,P,5138,4137.0
2181,2336_01,Europa,True,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,A,30,S,2336,0.0
2182,2336_02,Europa,False,TRAPPIST-1e,44.0,True,1409.0,910.0,17.0,1452.0,3782.0,False,A,30,S,2336,7570.0
6222,6582_01,Europa,False,55 Cancri e,25.0,False,0.0,1538.0,97.0,530.0,35.0,False,A,66,P,6582,2200.0
2325,2506_02,Europa,True,55 Cancri e,39.0,False,0.0,0.0,0.0,0.0,0.0,True,A,19,P,2506,0.0
2326,2506_03,Europa,False,55 Cancri e,23.0,False,36.0,2467.0,0.0,381.0,803.0,False,A,19,P,2506,3687.0
2955,3204_01,Europa,False,TRAPPIST-1e,26.0,False,,1653.0,7.0,227.0,1457.0,False,A,27,P,3204,3344.0
8688,9276_01,Europa,False,55 Cancri e,41.0,True,0.0,6819.0,0.0,1643.0,74.0,False,A,98,P,9276,8536.0
7664,8176_01,Europa,False,55 Cancri e,28.0,False,5.0,8252.0,0.0,181.0,3027.0,False,A,98,S,8176,11465.0
8687,9275_03,Europa,True,TRAPPIST-1e,30.0,False,0.0,3208.0,0.0,2.0,330.0,True,A,97,P,9275,3540.0
3524,3781_01,Europa,False,TRAPPIST-1e,38.0,False,821.0,960.0,0.0,27.0,321.0,False,A,44,S,3781,2129.0
8260,8822_01,Europa,False,55 Cancri e,25.0,False,0.0,145.0,1359.0,492.0,205.0,False,A,92,P,8822,2201.0
8686,9275_02,Europa,False,TRAPPIST-1e,32.0,False,1.0,1146.0,0.0,50.0,34.0,False,A,97,P,9275,1231.0
7523,8043_04,Europa,True,55 Cancri e,37.0,False,0.0,0.0,0.0,0.0,0.0,True,A,97,S,8043,0.0
7522,8043_03,Europa,False,TRAPPIST-1e,39.0,True,1.0,392.0,64.0,148.0,1367.0,True,A,97,S,8043,1972.0
7521,8043_02,Europa,False,TRAPPIST-1e,29.0,True,0.0,1408.0,0.0,408.0,1.0,True,A,97,S,8043,1817.0
7520,8043_01,Europa,False,55 Cancri e,45.0,False,5.0,17901.0,0.0,79.0,281.0,True,A,97,S,8043,18266.0
6170,6512_03,Europa,False,TRAPPIST-1e,28.0,False,0.0,3527.0,1.0,2929.0,2236.0,False,A,80,S,6512,8693.0
8685,9275_01,Europa,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,A,97,P,9275,0.0
6882,7289_01,Europa,False,55 Cancri e,52.0,False,360.0,1314.0,8.0,641.0,66.0,True,A,78,P,7289,2389.0
3407,3667_01,Europa,True,55 Cancri e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,A,42,S,3667,0.0
7219,7712_01,Europa,False,TRAPPIST-1e,25.0,True,1.0,4298.0,0.0,0.0,2.0,True,A,93,S,7712,4301.0
3464,3732_01,Europa,True,55 Cancri e,5.0,False,,0.0,0.0,0.0,0.0,True,A,43,S,3732,0.0
3465,3732_02,Europa,False,TRAPPIST-1e,29.0,False,0.0,8444.0,0.0,2989.0,8735.0,False,A,43,S,3732,20168.0
3466,3732_03,Europa,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,True,A,43,S,3732,0.0
6664,7026_01,Europa,False,55 Cancri e,37.0,False,0.0,1678.0,0.0,36.0,3128.0,False,A,86,S,7026,4842.0
3795,4049_01,Europa,True,55 Cancri e,25.0,False,0.0,0.0,0.0,0.0,0.0,False,A,47,S,4049,0.0
4010,4271_01,Europa,True,TRAPPIST-1e,25.0,False,0.0,0.0,0.0,0.0,0.0,True,A,38,P,4271,0.0
6048,6400_01,Europa,False,55 Cancri e,40.0,False,0.0,1677.0,0.0,109.0,320.0,True,A,76,S,6400,2106.0
3796,4050_01,Europa,False,55 Cancri e,36.0,False,0.0,1302.0,0.0,2067.0,10173.0,False,A,35,P,4050,13542.0
4644,4944_01,Europa,False,55 Cancri e,,False,269.0,2171.0,2.0,2.0,0.0,True,A,60,S,4944,2444.0
7246,7748_01,Europa,False,TRAPPIST-1e,44.0,False,18.0,1451.0,0.0,279.0,64.0,False,A,94,S,7748,1812.0
6017,6365_01,Europa,False,55 Cancri e,33.0,False,0.0,38.0,0.0,1.0,3167.0,False,A,64,P,6365,3206.0
5215,5561_03,Europa,False,TRAPPIST-1e,42.0,False,0.0,890.0,2929.0,352.0,4898.0,False,A,51,P,5561,9069.0
4018,4292_01,Europa,False,55 Cancri e,28.0,False,0.0,31.0,0.0,1283.0,871.0,True,A,52,S,4292,2185.0
3292,3536_01,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,A,40,S,3536,0.0
1217,1294_02,Europa,True,PSO J318.5-22,30.0,False,0.0,0.0,0.0,0.0,0.0,True,A,14,S,1294,0.0
1218,1294_03,Europa,False,TRAPPIST-1e,28.0,True,,0.0,,0.0,0.0,False,A,14,S,1294,0.0
8153,8719_01,Europa,False,TRAPPIST-1e,33.0,True,0.0,3076.0,0.0,3.0,994.0,False,A,104,S,8719,4073.0
8154,8719_02,Europa,False,55 Cancri e,54.0,False,0.0,1821.0,2370.0,949.0,46.0,False,A,104,S,8719,5186.0
8155,8719_03,Europa,True,55 Cancri e,20.0,False,0.0,0.0,0.0,0.0,0.0,True,A,104,S,8719,0.0
3245,3487_01,Europa,False,55 Cancri e,46.0,False,0.0,0.0,0.0,1529.0,3069.0,False,A,39,S,3487,4598.0
5440,5811_02,Europa,False,55 Cancri e,46.0,False,35.0,3953.0,0.0,2108.0,0.0,True,A,54,P,5811,6096.0
